frame_number,timestamp,x1,y1,x2,y2,damage_class,confidence
00000,0.0,740.89,246.04,824.42,271.78,other corruption,0.2324
00001,1.0,824.11,308.69,909.85,335.12,other corruption,0.3023
00002,2.0,864.95,601.51,1068.22,718.45,Pothole,0.5527
00002,2.0,0.0,438.15,99.98,514.23,Pothole,0.3322
00002,2.0,878.25,320.62,1024.27,362.38,other corruption,0.2044
00003,3.0,720.79,389.35,871.12,466.11,Pothole,0.503
00005,5.0,853.68,435.78,980.02,498.03,Pothole,0.3735
00006,6.0,270.74,282.1,477.63,353.54,Pothole,0.2354
00007,7.0,24.14,397.29,439.62,574.17,Pothole,0.5037
00007,7.0,748.64,486.2,975.22,578.12,Pothole,0.5029
00007,7.0,480.93,210.79,623.09,244.73,other corruption,0.4117
00007,7.0,396.65,178.72,474.72,201.5,other corruption,0.2069
00008,8.0,470.51,260.25,648.92,306.58,other corruption,0.4187
00008,8.0,669.25,578.43,917.78,716.89,Pothole,0.2371
00008,8.0,220.24,335.26,550.04,445.93,Pothole,0.2188
00009,9.0,302.38,246.41,422.13,282.33,other corruption,0.2747
00010,10.0,1013.09,419.87,1190.52,478.42,other corruption,0.4154
00010,10.0,289.35,384.66,578.48,502.47,Pothole,0.2195
00011,11.0,1.47,461.77,279.06,714.4,Pothole,0.6405
00011,11.0,1.54,462.14,276.73,622.04,Pothole,0.2412
00017,17.0,426.12,302.6,526.42,330.23,other corruption,0.262
00018,18.0,287.68,449.69,408.16,494.75,Pothole,0.2425
00019,19.0,181.06,395.78,440.63,495.58,Pothole,0.2917
00019,19.0,202.66,401.44,416.2,485.18,Pothole,0.2323
00021,21.0,602.62,284.86,778.7,342.95,Pothole,0.3186
00021,21.0,96.5,461.33,301.67,567.69,Pothole,0.2013
00024,24.0,709.3,289.01,852.55,338.59,Pothole,0.2166
00024,24.0,553.09,167.69,642.23,193.06,other corruption,0.2155
00025,25.0,867.46,246.98,1003.26,282.7,other corruption,0.3189
00026,26.0,591.73,290.04,724.86,336.69,Pothole,0.238
00027,27.0,633.27,532.34,937.34,714.11,Pothole,0.7485
00027,27.0,653.97,423.25,822.91,505.19,Pothole,0.6517
